mngentity,"""Mission Statement"" ",Stated mission statement?,Primary Objective,Other Objective 1,Other Objective 2,Sub Org of,Source,Flag,Notes
"LOC_CITY_El Monte, City of",The City of El Monte is committed to providing quality public services and promoting the well being of our diverse community. Through our… ? Commitment to Excellence ? Being Business Friendly ? Ethical Behavior ? Being Visionary and Proactive ? Integrity and Honesty ? Exemplary Customer Service ? Teamwork,Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.ci.el-monte.ca.us/Search?searchPhrase=mission%20statement,Yes,Stated on pdf from the website
"LOC_CITY_El Segundo, City of","Provide a great place to live, work, and visit.  ",Yes,Cultural,Recreation/parks/Trails/greenways,,,"https://www.elsegundo.org/Home/ShowDocument?id=2661#:~:text=Objective%201A%3A%20El%20Segundo%20provides,to%20internal%20and%20external%20customers.&text=City%20operations%20are%20unified%20and%20integrated.&text=City%20services%20are%20convenient%2C%20efficient,residents%2C%20businesses%2C%20and%20visitors.",Yes,Stated on pdf 
"LOC_CITY_Emeryville, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.ci.emeryville.ca.us/,,
"LOC_CITY_Encinitas, City of","Preserve, protect, and provide innovative services that enhance the quality of life for residents, visitors, businesses, and our communities. ",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://encinitasca.gov/Government/City-Strategic-Plan-Accomplishments,,
"LOC_CITY_Escalon, City of",Taking pride in our community through quality service,Yes,Cultural,Recreation/parks/Trails/greenways,,,http://www.cityofescalon.org/,,
"LOC_CITY_Etna, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.etnaca.com/,,
"LOC_CITY_Eureka, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.ci.eureka.ca.gov/,,
"LOC_CITY_Exeter, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://cityofexeter.com/,,
"LOC_CITY_Fairfax, Town of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.townoffairfax.org/,,
"LOC_CITY_Fairfield, CA",,,,,,,,Yes,repeat
"LOC_CITY_Fairfield, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.fairfield.ca.gov/about/default.asp,,
"LOC_CITY_Farmersville, City of","The mission of the City of Farmersville is to work in partnership with the community to promote a living and working environment that allows for the best quality of life by serving the residents with responsive, consistent, progressive, and professional leadership.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityoffarmersville-ca.gov/187/City-Council,,
"LOC_CITY_Ferndale, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.ferndalemi.gov/,,
"LOC_CITY_Fillmore, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.fillmoreca.com/community/vision-20-20,,
"LOC_CITY_Firebaugh, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://firebaugh.org/,,
"LOC_CITY_Folsom, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.folsom.ca.us/home,,
"LOC_CITY_Fontana, City of",We serve to enrich the lives of all people by embracing opportunity,Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.fontana.org/,,
"LOC_CITY_Fort Bragg, City of","Fort Bragg is a small town with a strong sense of community that seeks to preserve its natural beauty while providing exceptional public facilities and infrastructure, safe streets, and a well-planned framework for sustainable development and prosperity.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://city.fortbragg.com/130/City-Council,,
"LOC_CITY_Fort Jones, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://fortjonesca.org/,,
"LOC_CITY_Fortuna, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.friendlyfortuna.com/,,
"LOC_CITY_Foster City, City of","The mission of the City of Foster City is to deliver equitable services that are customer-focused with an emphasis
on public safety, neighborhood livability, smart planning, a vibrant economy, infrastructure improvements,
innovation, and a sustainable environment. In pursuit of this mission, we use community engagement and data to
make decisions and measure progress based on economic, social, and environmental factors.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.fostercity.org/citycouncil/page/city-council-vision-values-priorities,,
"LOC_CITY_Fountain Valley, City of","The City of Fountain Valley delivers cost-effective quality public services to provide a safe
and desirable community that enriches its residents and businesses.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.fountainvalley.org/150/Citywide-Strategic-Plan,,
"LOC_CITY_Fowler, City of",,Yes,Cultural,Recreation/parks/Trails/greenways,,,http://fowlercity.org/,,
"LOC_CITY_Fremont, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.fremont.gov/,,
"LOC_CITY_Fresno, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.fresno.gov/,,
"LOC_CITY_Fullerton, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityoffullerton.com/?locale=en,,
"LOC_CITY_Galt, City of","The City of Galt is committed to providing exceptional public services and facilities that are sustainable and responsive to the needs of the community in an honest, efficient and fiscally responsible manner.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.ci.galt.ca.us/government/strategic-plan/mission-statement,Yes,Stated on pdf from the website
"LOC_CITY_Garden Grove, City of","The mission of the City of Garden Grove is to provide responsible leadership and quality services as we promote safety, cultural harmony, and life enrichment.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://ggcity.org/city-manager,,
"LOC_CITY_Gardena, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://cityofgardena.org/,,
"LOC_CITY_Gilroy, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofgilroy.org/,,
"LOC_CITY_Glendale, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.glendaleca.gov/home,,
"LOC_CITY_Goleta, City of","Goleta is a beautiful, safe, and diverse community of residents with family-friendly neighborhoods that values the environment, agriculture, and open space while encouraging housing, recreation, and business opportunities.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofgoleta.org/projects-programs/advocacy/strategic-plan,,
"LOC_CITY_Gonzales, City of","The City Council and Staff of the City of Gonzales will realize our Vision by providing the leadership, commitment and resources necessary to provide excellent services that enhance the quality of life of our diverse  community.

 

City services will be delivered in a cost-effective, respectful and friendly manner to insure the safety and well being of the residents and the promotion of business, recreational, housing and employment opportunities in an environmentally sustainable manner.

 

Strong fiscal policies allow us to provide appropriate infrastructure for:

 

· Public Safety

· Housing

· Recreation

· Environment

· Education",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://gonzalesca.gov/government/city-government,,
"LOC_CITY_Grand Terrace, City of","To preserve and protect our community and its exceptional quality of life through thoughtful planning, within the constraints of fiscally responsible government.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.grandterrace-ca.gov/UserFiles/Servers/Server_12337255/File/Business/Apply/city_of_grand_terrace_vision_2030_strategic_plan.pdf,Yes,Stated on pdf
"LOC_CITY_Grass Valley, City of","Enrich the quality of life through exceptional service, innovation, and leadership.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofgrassvalley.com/government,,
"LOC_CITY_Greenfield, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://ci.greenfield.ca.us/,,
"LOC_CITY_Gridley, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,http://gridley.ca.us/,,
"LOC_CITY_Grover Beach, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.grover.org/,,
"LOC_CITY_Guadalupe, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://ci.guadalupe.ca.us/,,
"LOC_CITY_Gustine, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofgustine.com/,,
"LOC_CITY_Half Moon Bay, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.half-moon-bay.ca.us/,,
"LOC_CITY_Hanford, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofhanfordca.com/,,
"LOC_CITY_Hawthorne, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofhawthorne.org/,,
"LOC_CITY_Healdsburg, City of","In Healdsburg our mission is to create an atmosphere of innovation and diversity that enhances the values of the community which support: young and multi-generational families, our rich and broad agricultural roots, innovative and sustainable businesses and healthy quality of life.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.ci.healdsburg.ca.us/404/Strategic-Plan,Yes,Stated on pdf from the website
"LOC_CITY_Hemet, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.hemetca.gov/,,
"LOC_CITY_Hercules, City of"," Our mission is to lead our diverse community and enhance the quality of life in the City of Hercules, now and in the future. We do this by providing effective, efficient, responsive, and innovative services with integrity and a culture of transparency. ",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.ci.hercules.ca.us/government/city-council/strategic-plan,,
"LOC_CITY_Hermosa Beach, City of","The mission of the Hermosa Beach government is to:

Govern with Community Engagement and Collaborative Sentiment,
To Be Financially, Environmentally Responsible, and
To Provide 1st Class Municipal Services in a Customer Friendly Manner through Valued Employees and Volunteers",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.hermosabeach.gov/our-community/city-mission-leadership-philosophy,,
"LOC_CITY_Hesperia, City of","Hesperia is dedicated to enhancing our safe, friendly community, while blending a rural lifestyle with progress and responsible growth.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofhesperia.us/398/City-Vision,,
"LOC_CITY_Highland, City of","Highland is dedicated to the betterment of the individual, the family, the neighborhood and the community. The City Council and the staff of Highland are dedicated to providing the quality of public facilities and services that its citizens are willing to fund and will do so as efficiently as possible.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofhighland.org/DocumentCenter/View/393/Mission-Statement-PDF?bidId=,Yes,Stated on pdf from the website
"LOC_CITY_Hillsborough, Town of","The Town of Hillsborough serves the needs of our diverse community by providing for its safety and well-being, while promoting a superior quality of life.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.hillsborough.net/Archive/ViewFile/Item/212,Yes,Stated on pdf
"LOC_CITY_Hollister, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,http://hollister.ca.gov/,,
